               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088782,             0.12481,            0.049041,             0.48416,             0.22073,             0.17228,            0.071794,             0.05591,            0.094807,            0.036358,            0.003331,            0.003331,            0.070021
                   1,            0.064906,             0.12192,            0.032925,             0.74546,             0.34074,             0.37311,             0.13427,            0.053022,            0.091514,            0.022762,           0.0066094,           0.0066094,            0.039966
                   2,            0.060951,             0.11736,            0.021827,             0.64875,             0.44017,              0.4232,             0.19761,            0.052781,            0.087415,            0.014753,           0.0098327,           0.0098327,           0.0098558
                   3,             0.05386,             0.11809,            0.016175,             0.78894,             0.48385,             0.51698,             0.26385,            0.044009,            0.083721,            0.011275,           0.0097525,           0.0097525,           0.0097525
                   4,            0.048493,             0.11339,            0.013348,             0.85767,             0.51483,             0.56913,             0.31144,            0.037946,            0.082355,           0.0090497,           0.0097525,           0.0097525,           0.0097525
                   5,            0.045438,             0.10965,            0.011348,             0.85754,              0.5382,             0.58862,             0.33402,            0.038687,            0.080821,           0.0082418,             0.00967,             0.00967,             0.00967
                   6,            0.043802,              0.1069,              0.0104,             0.86831,              0.5412,             0.60005,             0.35618,            0.035914,            0.080614,            0.007615,           0.0095875,           0.0095875,           0.0095875
                   7,            0.042801,             0.10736,           0.0097417,             0.87609,             0.53898,             0.60968,             0.37878,            0.034139,            0.078851,           0.0077016,            0.009505,            0.009505,            0.009505
                   8,            0.041297,             0.10865,           0.0094294,              0.8669,              0.5548,             0.60828,             0.36926,            0.034053,            0.078661,           0.0068345,           0.0094225,           0.0094225,           0.0094225
                   9,             0.04104,             0.10623,            0.008914,             0.86435,             0.54682,             0.61935,             0.38952,            0.033293,            0.078055,           0.0073017,             0.00934,             0.00934,             0.00934
                  10,            0.040587,             0.10379,           0.0086027,             0.87237,             0.55928,             0.63419,             0.38693,            0.034263,            0.077713,            0.006796,           0.0092575,           0.0092575,           0.0092575
                  11,            0.039362,             0.10309,           0.0083111,             0.88289,             0.55333,             0.64794,             0.40224,            0.033139,            0.076943,           0.0064087,            0.009175,            0.009175,            0.009175
                  12,            0.039382,             0.10357,            0.007929,             0.87244,             0.56528,              0.6636,             0.42059,            0.032582,            0.076945,            0.006462,           0.0090925,           0.0090925,           0.0090925
                  13,             0.03843,              0.1046,           0.0080628,             0.86715,             0.56803,             0.66799,             0.42563,            0.032413,            0.076738,           0.0062025,             0.00901,             0.00901,             0.00901
                  14,             0.03864,             0.10286,           0.0075792,             0.87087,             0.56972,             0.67099,              0.4267,            0.031877,            0.076542,           0.0062334,           0.0089275,           0.0089275,           0.0089275
                  15,            0.038185,             0.10057,           0.0076662,             0.88763,             0.55721,             0.70332,             0.44789,            0.031437,            0.076154,           0.0058771,            0.008845,            0.008845,            0.008845
                  16,            0.038088,             0.10228,           0.0073707,              0.8827,             0.57091,             0.71349,             0.45036,            0.031599,            0.076014,           0.0058431,           0.0087625,           0.0087625,           0.0087625
                  17,            0.037676,             0.10198,           0.0072185,             0.88508,             0.57165,             0.70497,             0.45091,            0.031595,             0.07567,           0.0057633,             0.00868,             0.00868,             0.00868
                  18,            0.037384,             0.10056,            0.007358,             0.88738,             0.56632,             0.71534,               0.451,            0.031451,            0.075267,           0.0056083,           0.0085975,           0.0085975,           0.0085975
                  19,            0.036928,            0.099482,           0.0068389,             0.87967,             0.56982,             0.72627,             0.46058,            0.031377,            0.074966,           0.0055211,            0.008515,            0.008515,            0.008515
                  20,            0.037042,            0.099195,           0.0070506,             0.79755,             0.63784,             0.72282,             0.45911,             0.03115,            0.075534,           0.0053618,           0.0084325,           0.0084325,           0.0084325
                  21,            0.036708,            0.099331,            0.006854,             0.83382,             0.65128,             0.74183,             0.47232,            0.030742,            0.074866,             0.00518,             0.00835,             0.00835,             0.00835
                  22,            0.036575,            0.098936,           0.0064826,             0.83505,             0.64997,             0.73356,             0.46347,            0.031003,            0.074822,           0.0051489,           0.0082675,           0.0082675,           0.0082675
                  23,            0.036455,            0.098536,            0.006493,              0.8393,              0.6381,             0.73965,              0.4694,            0.031339,            0.075006,           0.0052007,            0.008185,            0.008185,            0.008185
                  24,              0.0358,            0.097386,           0.0063437,             0.82676,             0.65234,             0.73619,             0.46471,             0.03115,            0.074615,           0.0052434,           0.0081025,           0.0081025,           0.0081025
                  25,             0.03626,            0.096609,           0.0063933,             0.84571,             0.64533,             0.74553,             0.47503,            0.030626,            0.074262,           0.0051047,             0.00802,             0.00802,             0.00802
                  26,            0.035847,            0.098563,           0.0061594,             0.85601,             0.64267,               0.753,             0.47961,            0.030603,            0.074322,           0.0048848,           0.0079375,           0.0079375,           0.0079375
                  27,              0.0359,            0.096676,           0.0061683,             0.84063,             0.66271,             0.76252,             0.48906,            0.030373,            0.073849,           0.0048617,            0.007855,            0.007855,            0.007855
                  28,            0.034925,            0.096556,           0.0059734,             0.85572,             0.65108,             0.76204,             0.49049,            0.030313,            0.073722,           0.0047823,           0.0077725,           0.0077725,           0.0077725
                  29,            0.035121,             0.09629,           0.0059359,             0.83661,             0.66378,             0.76382,              0.4876,            0.030249,            0.073806,           0.0049321,             0.00769,             0.00769,             0.00769
                  30,            0.034919,            0.096343,           0.0057944,             0.84607,             0.64849,             0.76625,              0.4891,            0.030229,            0.073828,           0.0048728,           0.0076075,           0.0076075,           0.0076075
                  31,             0.03532,            0.096536,           0.0058753,             0.84254,             0.66325,             0.76941,             0.49396,            0.030233,            0.073907,           0.0047487,            0.007525,            0.007525,            0.007525
                  32,            0.035174,            0.097085,           0.0056493,             0.84219,              0.6654,             0.77039,             0.49383,            0.030037,            0.073745,           0.0046428,           0.0074425,           0.0074425,           0.0074425
                  33,            0.034946,            0.095933,           0.0057986,             0.87152,             0.65191,              0.7737,             0.48738,            0.030128,            0.073579,           0.0048278,             0.00736,             0.00736,             0.00736
                  34,            0.034468,            0.096407,           0.0053495,             0.69866,             0.75909,             0.78068,             0.50109,            0.030051,            0.073337,           0.0045898,           0.0072775,           0.0072775,           0.0072775
                  35,            0.034591,            0.096387,           0.0057802,             0.69417,             0.75345,              0.7813,             0.50285,            0.029944,            0.073413,           0.0045369,            0.007195,            0.007195,            0.007195
                  36,            0.034246,            0.094783,           0.0056471,             0.70275,             0.75878,             0.77975,             0.50459,            0.029829,            0.073406,           0.0046253,           0.0071125,           0.0071125,           0.0071125
                  37,            0.034448,            0.095718,           0.0052278,             0.69355,             0.75437,             0.77722,             0.50138,            0.029738,            0.073927,            0.004551,             0.00703,             0.00703,             0.00703
                  38,             0.03399,            0.094659,           0.0053044,             0.76606,             0.73875,             0.78624,             0.50257,            0.029797,            0.073396,           0.0047379,           0.0069475,           0.0069475,           0.0069475
                  39,            0.034141,             0.09559,           0.0054341,              0.7522,              0.7376,             0.78385,             0.50707,            0.029583,            0.073258,           0.0044179,            0.006865,            0.006865,            0.006865
                  40,            0.034106,            0.093695,           0.0052851,             0.70445,             0.76721,             0.78456,             0.50649,            0.029645,             0.07337,            0.004509,           0.0067825,           0.0067825,           0.0067825
                  41,            0.033975,            0.093721,           0.0052493,             0.75541,             0.72888,             0.78095,             0.50468,            0.029633,            0.073437,           0.0046482,              0.0067,              0.0067,              0.0067
                  42,            0.033981,            0.093983,           0.0052957,             0.76015,             0.73307,             0.78305,             0.50955,            0.029496,            0.072893,            0.004443,           0.0066175,           0.0066175,           0.0066175
                  43,            0.033403,            0.092644,           0.0051127,             0.72062,             0.76934,             0.78666,             0.50227,            0.029692,            0.073113,           0.0044662,            0.006535,            0.006535,            0.006535
                  44,            0.033437,            0.091019,           0.0050924,             0.77243,             0.73375,             0.78412,             0.50732,            0.029502,            0.073402,           0.0042827,           0.0064525,           0.0064525,           0.0064525
                  45,            0.033439,            0.093172,           0.0051397,              0.7486,             0.73755,             0.77746,             0.50344,            0.029566,            0.073235,           0.0042899,             0.00637,             0.00637,             0.00637
                  46,            0.033273,             0.09209,           0.0050361,              0.7625,              0.7376,             0.78787,             0.50566,            0.029472,            0.073163,           0.0043181,           0.0062875,           0.0062875,           0.0062875
                  47,             0.03362,            0.093252,           0.0050384,             0.77688,             0.72671,             0.78692,             0.50928,            0.029418,            0.073001,           0.0042925,            0.006205,            0.006205,            0.006205
